IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,Substance,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023
Non-Annex_I,Rest Central America,ABW,Aruba,CO2,25.213789085409,28.827752229695,39.472107691429,44.289438549275,43.469147664957,57.396273007276,56.422909510436,67.099762041688,71.936982282378,75.919037908302,79.772226208206,82.893141389661,81.82398071544,84.428843955751,98.591859110743,104.13882205867,113.74167244941,128.69486170037,142.8473207883,197.4178260967,200.85258396191,226.24058399179,250.56773853139,251.3724206705,285.60127523405,314.18487464777,206.557868931,342.74166865522,350.91413071924,355.51225014724,268.57504446128,271.46396860456,296.5629013073,341.92589848746,348.88890713365,384.83942668101,423.6865290987,457.53275062155,453.99354375537,492.74180785143,482.20690364903,290.1806778076,374.85742415246,412.30730549528,440.68921469121,462.0255929416,484.8886068921,466.5916123135,465.88120928283,557.91726646707,452.5530635328,500.63524738091,502.69325524728,530.02609768256
Non-Annex_I,India +,AFG,Afghanistan,CO2,1733.9202703525,1733.7099064621,1693.5844778192,1733.9047867631,2190.3180659907,2028.9668495207,1892.6415803891,2282.5744552118,1934.106761945,2059.3022212272,2006.4229820796,2259.9334893809,2309.6005486682,3001.6987878233,3224.6990884434,4123.374916836,3941.6385367035,3272.7745283729,3087.9133251025,2895.9589955101,2922.237036944,2847.0062140739,1819.9478449776,1784.7925234193,1685.1519201962,1462.9959989097,1417.1859387335,1384.6482362144,1420.4167568466,1375.5202786295,1016.059430888,944.68302155421,942.26558867906,1007.964174616,892.88778845664,1266.3403240047,1408.2881053553,2009.5642246064,3833.3827717753,6082.7872221478,7788.8931153088,11408.711389549,9767.7556389945,8300.0217039034,7825.7408538122,8346.5207756354,7527.5937139766,8066.1384891267,7932.0046944852,7249.0685673738,7054.1329730025,7930.7810331851,8259.9152598106,8707.3498301747
Non-Annex_I,Southern_Africa,AGO,Angola,CO2,8933.8990382515,8519.5128954826,10366.104267913,11346.995664084,11806.560820739,10904.652964235,7291.9810032924,12033.473223075,14216.26955051,14179.404316045,14316.129740618,13232.27058949,12771.508325577,13221.292803438,13356.551433383,14103.741798818,14246.185894429,14501.641193979,14940.803606585,15103.498342635,11230.706745314,11780.462085611,12118.981549413,12141.629368637,11490.352124572,12953.295662461,15678.758847716,16402.111334543,17036.446265088,18031.449522944,16511.908204956,16192.303090322,15915.440451603,17329.632255447,17690.260897696,15638.851140211,16320.24667643,17055.818101105,19119.430470386,21088.856069926,22739.890870409,23650.038010941,24716.177435424,28534.219706341,30887.263663175,33097.498918056,31285.802719132,27942.098857981,26258.886521823,27573.216012427,20710.917670487,25262.831792502,27353.038120996,28229.92761042
Non-Annex_I,Rest Central America,AIA,Anguilla,CO2,2.1775867040969,2.1776893425208,2.2731902430628,2.118480499722,2.3598362010186,2.5936535569139,2.4441453214853,2.5467721842913,2.911352856388,3.2227556920992,4.4223644274478,6.6494265188572,7.0284162854852,6.0983831507769,5.8106470719011,3.6804964819132,3.1646263042806,6.1363205444113,5.8082075990453,6.1600603778578,6.1265226144105,7.5920200108486,7.9159730294381,9.9656471967764,13.145114380028,16.409894230213,16.22794502688,13.578708454875,12.464076026927,11.766500202505,15.547556311903,15.926577094562,10.875333023767,14.123900753005,13.489464351788,13.679754622313,12.831096196334,12.373733002586,15.287871409898,20.180649683011,24.024484076903,26.028307016954,26.043738122975,27.961269320063,27.917050273862,28.026636357303,28.362580130907,29.086621706672,28.247295118904,27.604422335424,22.803655463912,22.017826529958,21.861339664167,22.955546062361
Int. Aviation,Int. Aviation,AIR,Int. Aviation,CO2,169900.39851176,169900.39851176,179759.53108772,187494.40631491,180478.12895358,174582.4705278,174907.98267929,190798.50510334,197866.28163347,204567.53997224,203458.27289671,202666.50806623,210056.39605647,211936.886976,219877.74875043,225908.13629467,248130.14125463,262332.51782802,277172.84381421,291117.42651628,260688.59636362,253692.71125762,262158.55807562,267306.58859601,281060.40829701,291771.16608401,303696.88692301,318336.25452501,328978.14087301,342962.90922701,355323.48242751,349189.29059995,369503.25583221,367412.90174995,403086.62098234,429024.64193619,444324.42398295,459276.23020695,466389.4354742,443785.35858476,466657.07581114,480117.81375905,483676.6243144,492257.22858228,507505.76078415,536213.68045348,560173.83889034,589919.31533434,615937.5422724,625141.4352559,298655.67761658,331317.42468015,411474.86613503,491632.30758991
Non-Annex_I,Central Europe,ALB,Albania,CO2,4844.9880684679,4838.1287675754,5518.291373221,4951.9424934987,5329.6173572567,5424.1176339979,5796.5728125273,6200.9330632718,6820.9953305125,7936.7030433499,8073.4990789165,7072.6042423023,7273.0219125321,7792.2314458985,8431.1558785212,8073.940436244,8151.3588620805,8292.7077121419,8199.5933838824,7905.9214536446,6644.9693011188,4379.4730834292,2363.037223001,2222.7012215103,2344.0876080053,2069.9635249015,2054.9329148944,1580.47574957,1914.6743623813,3086.5874718258,3232.53127915,3439.2877707348,4006.3585814281,4211.2171556956,4414.0431419576,4148.47644263,4134.6807246542,4244.3758224065,4194.6101574546,4274.5974637166,4556.8504883624,4988.2105258602,4532.8529432712,4769.3302314546,5095.8357844439,4863.5251426033,4530.2788825364,5341.5154284456,5305.5825085954,4953.5440007816,4560.7764208297,5039.3331110121,4609.0098047913,4591.8277637801
Non-Annex_I,Rest Central America,ANT,Netherlands Antilles,CO2,14515.782651156,14515.798789471,14113.959541933,15608.673971775,14124.012964321,10196.750571697,10849.146349256,10983.19571788,9271.8181344483,9182.4366081668,8677.7567406583,8042.0367033946,7295.8127417587,6828.8435465376,6690.7126205369,4499.2057834874,4297.0830396022,3965.3133058685,3459.3511604861,2956.7119906462,2666.3900910235,2765.8569553457,2883.4244093785,2366.9611332533,2665.0488201429,2671.5634188448,2700.2034984298,5299.4851996262,5479.7209368476,5445.5614626972,5667.4779877075,5656.3047115647,5416.9970321481,5433.220784925,5636.2418122568,5912.8618899379,5781.2826775556,6260.0546890101,6199.0985920609,5878.5395195158,4288.0512755859,5523.7437742335,5607.0569342164,5141.066643418,5669.0783158966,5741.9440539938,4973.7749228167,4012.8677794996,3236.7260242301,2511.4332407863,2054.8111199727,2241.320701035,2324.2398895335,2434.1384394063
Non-Annex_I,Middle_East,ARE,United Arab Emirates,CO2,19464.781609329,25429.81242108,27747.359203686,35843.602065367,36010.683649407,36679.443730902,45580.994020226,45876.446498415,52611.389146128,37879.505219433,41138.480480315,38055.484247427,38065.032481815,36792.776395597,49981.221203047,51811.517180557,50234.069049313,52069.848400086,50989.237442328,56936.025445861,56887.567152436,64722.215678436,62522.408741108,65914.120813632,72568.528962248,77402.542974124,80890.829621803,84301.60977029,86478.134469957,89152.448848468,88456.929694794,101259.30973963,103518.39738349,108819.55609791,115019.66362781,122461.873672,127197.64261228,137144.09128513,164251.88563932,165336.87237115,171953.7308992,177264.47633687,185020.8780068,194923.08997319,197903.32767798,206619.51964744,212219.65945534,204258.01542266,187055.49325325,197642.25733829,195490.85000125,201325.06873161,206899.49046306,205991.30334549
Non-Annex_I,Rest South America,ARG,Argentina,CO2,87569.142301173,87890.843121216,89715.390236819,92800.419503232,93280.156006617,90916.696079453,95587.864073684,99519.450140884,98579.55059441,104268.29192158,101826.21394516,98796.828612577,98006.914071518,101439.35544618,100835.63278005,94210.367917132,101638.24731034,107249.38305468,111034.12977014,107776.29800931,100187.63749845,105592.82445388,107511.03650566,111274.34752409,114683.29144599,116268.35175624,126570.5614014,130926.38005378,138007.90569233,139938.67836547,136761.60742982,131347.05090262,124055.03299185,135244.33504914,149732.82291515,153679.7539431,162617.66850577,173156.06285464,179312.94252645,164914.57375679,177404.22898022,184874.48066353,188865.78790851,193239.7198973,190082.05757575,196252.18868925,194170.17060077,191379.18851383,189838.93928902,183286.90339509,170120.2782892,190662.02070821,193481.63773717,183778.42144867
Non-Annex_I,Russia +,ARM,Armenia,CO2,10099.483566355,10115.477206057,10828.853015038,11768.522613621,12682.191678033,13842.189728829,14232.240234916,14767.81487497,15378.625636178,15958.989746308,17023.831280385,17436.095708267,17975.768673795,18029.739868471,18167.093700912,18251.748870831,18442.277757492,18640.104128651,18545.43799522,18126.520749886,20780.126603412,21598.137561934,10976.566874682,5115.271474456,2808.3222049497,3541.206317138,2594.0649828761,3338.3948563527,3472.604986699,3104.2030026765,3569.6123551146,3633.3182687594,3101.3361851247,3470.6788648098,3759.0193392403,4462.4796117571,4445.4688600634,5154.026875217,5648.2476007058,4501.8136895878,4298.8277135437,4903.7440311232,5669.20257764,5492.4091066019,5760.2511166294,5616.6490596528,5374.288737335,5688.557230507,5950.8783537421,6424.0759179798,6913.8233017861,7509.1846637415,7289.2761743426,7725.14439587
