Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.30,-.05,-.40,-.13,-.01,-.82,-.54,-.29,-.15,-.11,-.04,.05,.68
1881,-.10,-.20,.00,-.38,.10,-.07,-.93,-.52,-.22,.10,.10,-.05,-.07,.61
1882,-.12,-.23,-.01,-.34,-.05,.01,-1.41,-.32,-.17,-.05,-.05,.01,.04,.64
1883,-.18,-.30,-.07,-.37,-.17,-.01,-.18,-.60,-.28,-.18,-.15,-.04,.07,.51
1884,-.29,-.44,-.15,-.62,-.15,-.14,-1.30,-.69,-.48,-.13,-.17,-.19,-.02,.66
1885,-.34,-.45,-.24,-.67,-.14,-.27,-1.51,-.73,-.46,-.07,-.20,-.33,-.15,.83
1886,-.32,-.45,-.20,-.58,-.20,-.21,-1.59,-.55,-.40,-.22,-.18,-.20,-.20,.60
1887,-.37,-.45,-.29,-.55,-.31,-.28,-1.76,-.56,-.30,-.31,-.30,-.27,-.26,.33
1888,-.18,-.25,-.11,-.44,.10,-.28,-1.30,-.47,-.25,.06,.14,-.31,-.22,.17
1889,-.11,-.19,-.03,-.31,.08,-.16,-.68,-.27,-.28,.01,.15,-.15,-.15,.46
1890,-.36,-.40,-.32,-.47,-.37,-.22,-1.14,-.60,-.27,-.28,-.47,-.17,-.27,.16
1891,-.23,-.27,-.19,-.43,-.08,-.21,-1.11,-.36,-.36,.00,-.16,-.18,-.23,-.14
1892,-.28,-.41,-.15,-.44,-.31,-.07,-1.11,-.68,-.18,-.35,-.26,.03,-.21,.10
1893,-.32,-.49,-.15,-.52,-.37,-.04,-.65,-.57,-.47,-.44,-.31,.07,-.20,-.03
1894,-.31,-.40,-.21,-.34,-.35,-.23,-.96,-.35,-.19,-.50,-.19,-.14,-.35,-.36
1895,-.23,-.32,-.14,-.42,-.08,-.25,-.70,-.56,-.28,-.16,.00,-.19,-.31,-.57
1896,-.12,-.21,-.02,-.37,.09,-.15,-.90,-.40,-.23,.04,.15,-.15,-.13,.27
1897,-.11,-.18,-.05,-.37,.17,-.23,-.57,-.50,-.25,.13,.21,-.18,-.27,.42
1898,-.28,-.30,-.26,-.37,-.22,-.26,-1.17,-.28,-.25,-.19,-.26,-.27,-.21,.39
1899,-.18,-.23,-.13,-.26,-.12,-.18,-1.06,-.14,-.16,-.17,-.07,-.15,-.21,.60
1900,-.09,-.11,-.06,-.22,.17,-.29,-.57,-.20,-.16,.08,.26,-.28,-.29,.28
1901,-.16,-.14,-.18,-.18,-.04,-.30,-.39,-.14,-.16,-.07,-.01,-.27,-.33,.27
1902,-.29,-.35,-.22,-.56,-.04,-.34,-1.55,-.54,-.33,-.03,-.05,-.28,-.43,-.03
1903,-.38,-.39,-.36,-.49,-.29,-.38,-.25,-.46,-.57,-.25,-.33,-.35,-.40,-.48
1904,-.48,-.50,-.46,-.53,-.47,-.43,-.23,-.63,-.56,-.45,-.49,-.37,-.49,-1.31
1905,-.27,-.31,-.22,-.43,-.09,-.35,-.07,-.27,-.63,-.13,-.05,-.32,-.37,-.32
1906,-.22,-.24,-.21,-.27,-.18,-.23,-.28,-.10,-.40,-.19,-.18,-.20,-.22,-.70
1907,-.39,-.48,-.29,-.61,-.30,-.28,-.60,-.76,-.52,-.30,-.31,-.20,-.36,-1.19
1908,-.43,-.47,-.40,-.50,-.45,-.35,-.26,-.58,-.52,-.43,-.46,-.28,-.48,.69
1909,-.49,-.51,-.47,-.55,-.49,-.43,-.77,-.66,-.44,-.45,-.53,-.36,-.52,-.56
1910,-.44,-.46,-.43,-.44,-.50,-.37,-.63,-.27,-.50,-.50,-.50,-.32,-.45,.17
1911,-.44,-.43,-.45,-.43,-.43,-.47,-.31,-.44,-.47,-.43,-.43,-.43,-.52,.06
1912,-.37,-.48,-.24,-.61,-.19,-.36,-.53,-.82,-.51,-.29,-.09,-.36,-.29,-1.62
1913,-.35,-.44,-.26,-.46,-.29,-.34,-.51,-.36,-.51,-.41,-.16,-.28,-.40,-1.03
1914,-.16,-.21,-.11,-.26,-.08,-.17,-.39,-.19,-.29,-.13,-.03,-.15,-.18,-.35
1915,-.15,-.15,-.14,-.24,-.02,-.21,-.61,-.19,-.19,-.01,-.04,-.15,-.23,-1.97
1916,-.37,-.43,-.31,-.39,-.46,-.23,-.53,-.56,-.25,-.50,-.42,-.22,-.17,-1.04
1917,-.47,-.59,-.36,-.51,-.64,-.18,-.83,-.52,-.44,-.69,-.59,-.22,-.09,.07
1918,-.30,-.41,-.20,-.42,-.34,-.13,-1.03,-.29,-.35,-.39,-.30,-.05,-.22,-.27
1919,-.28,-.36,-.21,-.45,-.21,-.22,-.71,-.58,-.31,-.23,-.19,-.14,-.32,.21
1920,-.28,-.31,-.24,-.26,-.26,-.32,-.04,-.22,-.36,-.38,-.15,-.18,-.48,-1.13
1921,-.20,-.12,-.27,.00,-.26,-.30,-.04,.15,-.10,-.30,-.22,-.22,-.38,-.83
1922,-.29,-.28,-.30,-.25,-.33,-.27,-.30,-.42,-.14,-.33,-.33,-.24,-.28,-.27
1923,-.27,-.23,-.31,-.16,-.30,-.33,.17,-.17,-.26,-.32,-.28,-.26,-.41,-.54
1924,-.27,-.19,-.36,-.14,-.26,-.43,.51,-.27,-.24,-.27,-.26,-.39,-.45,-.52
1925,-.22,-.14,-.30,-.05,-.25,-.37,-.05,.16,-.19,-.28,-.21,-.24,-.54,-.85
1926,-.11,.01,-.21,.02,.02,-.40,.57,.14,-.23,.01,.02,-.35,-.45,-.63
1927,-.22,-.14,-.29,-.14,-.16,-.38,.03,-.23,-.13,-.14,-.18,-.30,-.45,-1.37
1928,-.20,-.11,-.29,-.08,-.15,-.39,.67,-.18,-.23,-.14,-.16,-.28,-.48,-2.11
1929,-.36,-.34,-.38,-.39,-.28,-.45,.12,-.63,-.39,-.27,-.29,-.42,-.44,-1.07
