# Title: February 2025 Global Gridded Average Temperature
# Units: Degrees Celsius
# Base Period: 1991-2020
# Missing: -999.00
Latitude,Longitude,Anomaly,Rank
-87.5,2.5,-0.04,90
-87.5,7.5,-0.59,36
-87.5,12.5,1.13,141
-87.5,17.5,-0.43,38
-87.5,22.5,-0.21,70
-87.5,27.5,-0.05,96
-87.5,32.5,-0.99,30
-87.5,37.5,-0.13,78
-87.5,42.5,-0.03,91
-87.5,47.5,-0.67,44
-87.5,52.5,0.33,110
-87.5,57.5,-0.62,46
-87.5,62.5,-0.13,70
-87.5,67.5,0.21,106
-87.5,72.5,0.5,122
-87.5,77.5,-0.03,91
-87.5,82.5,-0.03,98
-87.5,87.5,-1.46,20
-87.5,92.5,-0.62,51
-87.5,97.5,0.2,114
-87.5,102.5,-0.47,56
-87.5,107.5,-0.41,53
-87.5,112.5,0.71,142
-87.5,117.5,1.25,167
-87.5,122.5,-0.56,69
-87.5,127.5,-0.73,46
-87.5,132.5,-0.84,54
-87.5,137.5,-1.51,20
-87.5,142.5,-1.17,29
-87.5,147.5,-0.19,97
-87.5,152.5,-0.49,82
-87.5,157.5,-0.65,51
-87.5,162.5,0.43,139
-87.5,167.5,0.99,161
-87.5,172.5,0.72,153
-87.5,177.5,-1.24,31
-87.5,182.5,-0.28,71
-87.5,187.5,0.12,117
-87.5,192.5,0.83,154
-87.5,197.5,-0.24,82
-87.5,202.5,0.54,152
-87.5,207.5,0.69,159
-87.5,212.5,-0.09,115
-87.5,217.5,0.11,116
-87.5,222.5,0.19,103
-87.5,227.5,-0.2,88
-87.5,232.5,-1.13,24
-87.5,237.5,-0.53,55
-87.5,242.5,0.33,128
-87.5,247.5,-0.59,71
-87.5,252.5,-0.39,82
-87.5,257.5,0.63,139
-87.5,262.5,-0.12,98
-87.5,267.5,0.85,148
-87.5,272.5,0.73,149
-87.5,277.5,-0.21,84
-87.5,282.5,0.5,139
-87.5,287.5,-0.79,41
-87.5,292.5,0.26,112
-87.5,297.5,-0.07,93
-87.5,302.5,-1,28
-87.5,307.5,0.47,121
-87.5,312.5,2.12,170
-87.5,317.5,-0.61,49
-87.5,322.5,-0.42,53
-87.5,327.5,-1.36,6
-87.5,332.5,-0.15,62
-87.5,337.5,-0.91,39
-87.5,342.5,0.53,106
-87.5,347.5,-0.75,28
-87.5,352.5,-0.31,54
