# Title: February 2025 Global Gridded Precipitation
# Units: Millimeters
# Base Period: 1991-2020
# Missing: -9,999.00
Latitude,Longitude,Value,Anomaly,Rank,Mean
-88.75,1.25,0.8,-0.25,26,1.05
-88.75,3.75,0.81,0.18,27,0.63
-88.75,6.25,0.81,-0.31,27,1.12
-88.75,8.75,0.77,-0.39,27,1.16
-88.75,11.25,0.72,-0.1,26,0.82
-88.75,13.75,0.72,0.04,29,0.68
-88.75,16.25,0.7,0.21,28,0.49
-88.75,18.75,0.68,-0.08,32,0.76
-88.75,21.25,0.69,-0.18,28,0.87
-88.75,23.75,0.69,-0.05,27,0.74
-88.75,26.25,0.71,-0.71,26,1.42
-88.75,28.75,0.73,-0.58,27,1.31
-88.75,31.25,0.79,-0.01,27,0.8
-88.75,33.75,0.81,-0.06,29,0.87
-88.75,36.25,0.84,0.44,31,0.4
-88.75,38.75,0.85,0.36,33,0.49
-88.75,41.25,0.86,-0.06,29,0.92
-88.75,43.75,0.84,0.16,28,0.68
-88.75,46.25,0.84,-0.03,31,0.87
-88.75,48.75,0.88,0.17,30,0.71
-88.75,51.25,0.89,-0.01,29,0.9
-88.75,53.75,0.91,-0.53,29,1.44
-88.75,56.25,0.96,-0.14,30,1.1
-88.75,58.75,0.98,0.12,28,0.86
-88.75,61.25,0.97,0.17,32,0.8
-88.75,63.75,0.96,-0.19,27,1.15
-88.75,66.25,0.94,-0.21,29,1.15
-88.75,68.75,0.91,-0.15,31,1.06
-88.75,71.25,0.79,-0.22,27,1.01
-88.75,73.75,0.77,-0.29,25,1.06
-88.75,76.25,0.77,-0.55,25,1.32
-88.75,78.75,0.74,-0.4,26,1.14
-88.75,81.25,0.77,0.04,29,0.73
-88.75,83.75,0.76,-0.58,26,1.34
-88.75,86.25,0.73,-0.02,27,0.75
-88.75,88.75,0.71,-0.04,24,0.75
-88.75,91.25,0.7,-0.49,26,1.19
-88.75,93.75,0.65,-0.52,22,1.17
-88.75,96.25,0.57,-0.89,21,1.46
-88.75,98.75,0.55,-0.92,21,1.47
-88.75,101.25,0.57,-0.95,22,1.52
-88.75,103.75,0.58,-0.58,24,1.16
-88.75,106.25,0.58,-1.16,23,1.74
-88.75,108.75,0.55,-1.85,20,2.4
-88.75,111.25,0.53,-1.36,19,1.89
-88.75,113.75,0.53,-1,20,1.53
-88.75,116.25,0.5,-1.46,17,1.96
-88.75,118.75,0.46,-1.43,17,1.89
-88.75,121.25,0.43,-1.73,17,2.16
-88.75,123.75,0.42,-1.87,16,2.29
-88.75,126.25,0.4,-1.6,19,2
-88.75,128.75,0.4,-2.53,17,2.93
-88.75,131.25,0.4,-2.43,19,2.83
-88.75,133.75,0.2,-2.29,16,2.49
-88.75,136.25,0.16,-2.87,13,3.03
-88.75,138.75,0.18,-2.51,12,2.69
-88.75,141.25,0.21,-2.65,13,2.86
-88.75,143.75,0.22,-2.37,12,2.59
-88.75,146.25,0.22,-3.19,11,3.41
-88.75,148.75,0.24,-2.92,12,3.16
-88.75,151.25,0.25,-2.89,12,3.14
-88.75,153.75,0.22,-3.47,10,3.69
-88.75,156.25,0.17,-3.71,9,3.88
-88.75,158.75,0.21,-3.33,8,3.54
-88.75,161.25,0.31,-3.1,12,3.41
-88.75,163.75,0.35,-2.23,12,2.58
-88.75,166.25,0.4,-3.52,10,3.92
-88.75,168.75,0.43,-4.3,10,4.73
-88.75,171.25,0.47,-6.21,11,6.68
-88.75,173.75,0.51,-5.81,10,6.32
-88.75,176.25,0.58,-6.99,11,7.57
-88.75,178.75,0.6,-8.31,9,8.91
-88.75,181.25,0.62,-10.04,8,10.66
-88.75,183.75,0.7,-7.7,8,8.4
-88.75,186.25,0.78,-6.61,9,7.39
-88.75,188.75,0.82,-7.17,11,7.99
-88.75,191.25,0.81,-7.82,9,8.63
-88.75,193.75,0.74,-6.27,7,7.01
-88.75,196.25,0.73,-7.73,7,8.46
-88.75,198.75,0.74,-7.15,7,7.89
-88.75,201.25,0.76,-9.06,6,9.82
-88.75,203.75,0.81,-9.24,8,10.05
-88.75,206.25,0.77,-10.06,7,10.83
-88.75,208.75,0.74,-7.65,6,8.39
-88.75,211.25,0.67,-8.14,5,8.81
-88.75,213.75,0.64,-7.23,7,7.87
-88.75,216.25,0.68,-7.24,7,7.92
-88.75,218.75,0.67,-8.54,5,9.21
-88.75,221.25,0.64,-8.72,5,9.36
-88.75,223.75,0.59,-8.55,6,9.14
-88.75,226.25,0.57,-8.43,5,9
-88.75,228.75,0.58,-8.51,5,9.09
-88.75,231.25,0.54,-8.1,5,8.64
-88.75,233.75,0.53,-8.79,6,9.32
-88.75,236.25,0.5,-7.21,6,7.71
-88.75,238.75,0.49,-7.63,7,8.12
-88.75,241.25,0.56,-6.45,8,7.01
-88.75,243.75,0.61,-6.59,8,7.2
-88.75,246.25,0.67,-5.47,8,6.14
-88.75,248.75,0.66,-5.27,9,5.93
-88.75,251.25,0.67,-4.91,9,5.58
-88.75,253.75,0.77,-3.98,12,4.75
-88.75,256.25,1.04,-2.86,14,3.9
-88.75,258.75,1.18,-3.56,14,4.74
-88.75,261.25,1.27,-2.6,17,3.87
-88.75,263.75,1.29,-1.57,19,2.86
-88.75,266.25,1.32,-1.05,19,2.37
-88.75,268.75,1.36,-1.7,19,3.06
-88.75,271.25,1.35,-1.23,22,2.58
-88.75,273.75,1.35,-0.78,20,2.13
-88.75,276.25,1.32,-0.59,22,1.91
-88.75,278.75,1.22,-1.01,22,2.23
-88.75,281.25,1.3,-1.18,23,2.48
-88.75,283.75,1.4,-1.29,21,2.69
-88.75,286.25,1.35,-1.81,22,3.16
-88.75,288.75,1.33,-0.55,23,1.88
-88.75,291.25,1.22,0.01,25,1.21
-88.75,293.75,1.16,-0.27,27,1.43
-88.75,296.25,1.18,-0.34,25,1.52
-88.75,298.75,1.19,-0.58,28,1.77
-88.75,301.25,1.19,-1.17,24,2.36
-88.75,303.75,1.36,-0.86,27,2.22
-88.75,306.25,1.6,0.51,29,1.09
-88.75,308.75,1.66,0.18,29,1.48
-88.75,311.25,1.64,0.64,33,1
-88.75,313.75,1.73,0.7,31,1.03
-88.75,316.25,1.77,0.26,33,1.51
-88.75,318.75,1.73,0.81,37,0.92
-88.75,321.25,1.65,0.18,33,1.47
-88.75,323.75,1.69,0.41,35,1.28
-88.75,326.25,1.77,0.66,31,1.11
-88.75,328.75,1.75,1.19,39,0.56
-88.75,331.25,1.7,0.6,33,1.1
-88.75,333.75,1.67,0.35,35,1.32
-88.75,336.25,1.6,0.42,35,1.18
-88.75,338.75,1.51,0.25,32,1.26
-88.75,341.25,1.5,0.86,33,0.64
-88.75,343.75,1.43,0.82,35,0.61
-88.75,346.25,1.22,0.56,36,0.66
-88.75,348.75,1.11,0.02,31,1.09
-88.75,351.25,1.08,0.66,32,0.42
-88.75,353.75,1.03,0.55,35,0.48
-88.75,356.25,0.9,0.05,28,0.85
-88.75,358.75,0.83,-0.03,29,0.86
-86.25,1.25,0.6,-0.15,28,0.75
-86.25,3.75,0.5,-0.19,30,0.69
-86.25,6.25,0.46,-0.23,28,0.69
-86.25,8.75,0.24,-0.65,27,0.89
-86.25,11.25,0.17,-0.54,28,0.71
-86.25,13.75,0.16,-0.47,25,0.63
-86.25,16.25,0.14,-0.66,26,0.8
-86.25,18.75,0.12,-0.37,26,0.49
-86.25,21.25,0.12,-0.43,25,0.55
-86.25,23.75,0.12,-0.35,27,0.47
-86.25,26.25,0.11,-0.48,25,0.59
-86.25,28.75,0.12,-0.48,26,0.6
-86.25,31.25,0.13,-0.15,25,0.28
-86.25,33.75,0.09,-0.24,25,0.33
-86.25,36.25,0.08,-0.3,25,0.38
-86.25,38.75,0.08,-0.37,23,0.45
-86.25,41.25,0.09,-0.38,25,0.47
-86.25,43.75,0.02,-0.49,18,0.51
-86.25,46.25,0.01,-0.4,16,0.41
-86.25,48.75,0.01,-0.4,16,0.41
-86.25,51.25,0.01,-0.6,17,0.61
-86.25,53.75,0.01,-0.44,17,0.45
-86.25,56.25,0.01,-0.46,17,0.47
-86.25,58.75,0.01,-0.68,14,0.69
-86.25,61.25,0.03,-1,19,1.03
-86.25,63.75,0.04,-1.01,20,1.05
-86.25,66.25,0.01,-1.01,16,1.02
-86.25,68.75,0.01,-0.99,15,1
-86.25,71.25,0.01,-0.62,16,0.63
-86.25,73.75,0.01,-0.89,16,0.9
-86.25,76.25,0.01,-0.7,14,0.71
-86.25,78.75,0.01,-0.76,14,0.77
-86.25,81.25,0.01,-0.84,13,0.85
-86.25,83.75,0.02,-0.91,13,0.93
-86.25,86.25,0.07,-0.81,21,0.88
-86.25,88.75,0.07,-0.82,17,0.89
-86.25,91.25,0.07,-1.08,17,1.15
-86.25,93.75,0.08,-1.02,16,1.1
-86.25,96.25,0.09,-0.7,17,0.79
-86.25,98.75,0.14,-0.74,16,0.88
-86.25,101.25,0.16,-0.84,18,1
-86.25,103.75,0.14,-0.87,15,1.01
-86.25,106.25,0.15,-1.19,13,1.34
-86.25,108.75,0.13,-0.99,14,1.12
-86.25,111.25,0.18,-1.22,15,1.4
-86.25,113.75,0.14,-1.31,12,1.45
-86.25,116.25,0.16,-1.54,13,1.7
-86.25,118.75,0.15,-1.62,13,1.77
-86.25,121.25,0.16,-1.68,12,1.84
-86.25,123.75,0.17,-1.49,13,1.66
