date,year,temperature
1850-01,1850,-0.46556377977752517
1850-02,1850,-0.12362894457585566
1850-02,1850,-0.2428945466271355
1850-04,1850,-0.38946015642582565
1850-04,1850,-0.3696442225011149
1850-05,1850,-0.2926391088518754
1850-07,1850,-0.2077769402944797
1850-08,1850,-0.09810011814118474
1850-08,1850,-0.29387236230649433
1850-10,1850,-0.4009866963925482
1850-10,1850,-0.16183899378609545
1850-11,1850,-0.267954074683088
1851-01,1851,-0.14553949804962055
1851-02,1851,-0.25146072037532385
1851-02,1851,-0.18644799001565882
1851-04,1851,-0.5753089742854847
1851-04,1851,-0.2926833602196193
1851-05,1851,-0.23228626472324296
1851-07,1851,-0.17123166225770564
1851-08,1851,-0.23519766706935114
1851-08,1851,-0.17021141939174766
1851-10,1851,-0.025923981416051338
1851-10,1851,-0.12197582395221304
1851-11,1851,-0.023585540009388173
1852-01,1852,-0.31360490670969016
1852-02,1852,-0.3557185361520924
1852-02,1852,-0.4263541695805752
1852-04,1852,-0.4084483788789051
1852-04,1852,-0.23192649652656963
1852-05,1852,-0.04105605990945475
1852-07,1852,0.05612514854999944
1852-08,1852,-0.16002818738913518
1852-08,1852,-0.16160350143577445
1852-10,1852,-0.09274928287820114
1852-10,1852,-0.21000690517455844
1852-11,1852,0.02964193281227664
1853-01,1853,-0.26715959685934976
1853-02,1853,-0.19135481394949036
1853-02,1853,-0.10701591046868957
1853-04,1853,-0.10465009041974702
1853-04,1853,-0.17098780251118112
1853-05,1853,-0.09826308781530461
1853-07,1853,0.029133468568711313
1853-08,1853,-0.11684628103428517
1853-08,1853,-0.3101545516755251
1853-10,1853,-0.368284251916794
1853-10,1853,-0.3727813174575231
1853-11,1853,-0.22704747892097712
1854-01,1854,-0.36383821553936596
1854-02,1854,-0.2921927003326163
1854-02,1854,-0.1249988390130947
1854-04,1854,-0.17016404403682714
1854-04,1854,-0.2775612144576034
1854-05,1854,-0.31890773459804966
1854-07,1854,-0.20147196705631218
1854-08,1854,-0.1556028961946222
1854-08,1854,-0.10170539910069461
1854-10,1854,-0.08095060704371054
1854-10,1854,-0.23534267413653606
1854-11,1854,-0.28277890798271543
1855-01,1855,-0.17081787736529896
1855-02,1855,-0.14736965651775358
1855-02,1855,-0.05693305811100515
1855-04,1855,-0.1569192988791727
1855-04,1855,-0.2149759200298074
1855-05,1855,-0.21954458997904686
1855-07,1855,-0.2550202241489518
1855-08,1855,-0.0993850115099454
1855-08,1855,-0.30048087612314617
1855-10,1855,-0.08235207812116044
1855-10,1855,-0.2603147481165809
1855-11,1855,-0.28586361120037573
1855-12,1856,-0.01860779231394137
1856-02,1856,-0.331940390142423
1856-02,1856,-0.2940391260295823
1856-03,1856,-0.36397640416490246
1856-04,1856,-0.1848957339616193
1856-05,1856,-0.17225885733511576
1856-06,1856,-0.2614589111561506
1856-08,1856,-0.3854090180684092
1856-08,1856,-0.48582925316818854
1856-09,1856,-0.46717929932933316
1856-10,1856,-0.5244053748583523
1856-11,1856,-0.5516655052025374
1856-12,1857,-0.4670485832843981
1857-02,1857,-0.41834280509303745
1857-02,1857,-0.5549555060626574
1857-03,1857,-0.5698549013219762
1857-04,1857,-0.5329449577614973
1857-05,1857,-0.4008828715052927
1857-06,1857,-0.47580472740943563
1857-08,1857,-0.3577869528609076
1857-08,1857,-0.3545026780623822
1857-09,1857,-0.46777234446438176
1857-10,1857,-0.4205865657398275
1857-11,1857,-0.2450372388598914
1857-12,1858,-0.3631143612338333
1858-02,1858,-0.38534716024656585
1858-02,1858,-0.2707502900141726
1858-03,1858,-0.3753236860689933
1858-04,1858,-0.4634065917318319
1858-05,1858,-0.43288707553138384
1858-06,1858,-0.38276729480275806
1858-08,1858,-0.32155926386798106
1858-08,1858,-0.394915517147465
1858-09,1858,-0.28236971198035915
1858-10,1858,-0.30078650552775554
1858-11,1858,-0.37044441445641446
1858-12,1859,-0.3514413218168927
1859-02,1859,-0.20391419593243207
1859-02,1859,-0.24259694796276704
1859-03,1859,-0.07026265672199934
1859-04,1859,-0.10903359369101079
1859-05,1859,-0.16573367533652952
1859-06,1859,-0.3787668494745936
1859-08,1859,-0.27334188571702045
1859-08,1859,-0.4443193103379658
1859-09,1859,-0.3244944881073272
1859-10,1859,-0.2080803995730895
1859-11,1859,-0.13796034885677402
1859-12,1860,-0.26353297309224943
1860-02,1860,-0.3064758868448064
1860-02,1860,-0.3114615093137529
1860-03,1860,-0.159022765208739
1860-04,1860,-0.21010879207102168
1860-05,1860,-0.34276768259435697
1860-06,1860,-0.2690983113599555
1860-08,1860,-0.2750014933855588
1860-08,1860,-0.13346471250271377
1860-09,1860,-0.4091854510404541
1860-10,1860,-0.4363994171193013
1860-11,1860,-0.6331298221536751
1860-12,1861,-0.6658665565908815
1861-02,1861,-0.6625910558846204
1861-02,1861,-0.32550156083822046
1861-03,1861,-0.13624398759898657
1861-04,1861,-0.5852256215235352
1861-05,1861,-0.38449447172227
1861-06,1861,-0.2989890875517198
1861-08,1861,-0.1604216998819529
1861-08,1861,-0.32653712444297034
1861-09,1861,-0.5495591269482359
1861-10,1861,-0.2085948655895574
1861-11,1861,-0.23332333288098164
1861-12,1862,-0.8015573568147587
1862-02,1862,-0.7255270476467145
1862-02,1862,-0.4086977402031122
1862-03,1862,-0.3239238096850208
